   x      v
0.0077400774 0.0668307274
0.0077500775 0.0669132750
0.0077600776 0.0669958134
0.0077700777 0.0670783425
0.0077800778 0.0671608624
0.0077900779 0.0672433730
0.0078000780 0.0673258744
0.0078100781 0.0674083665
0.0078200782 0.0674908494
0.0078300783 0.0675733230
0.0078400784 0.0676557874
0.0078500785 0.0677382425
0.0078600786 0.0678206884
0.0078700787 0.0679031251
0.0078800788 0.0679855525
0.0078900789 0.0680679706
0.0079000790 0.0681503796
0.0079100791 0.0682327792
0.0079200792 0.0683151697
0.0079300793 0.0683975509
0.0079400794 0.0684799228
0.0079500795 0.0685622856
0.0079600796 0.0686446390
0.0079700797 0.0687269833
0.0079800798 0.0688093183
0.0079900799 0.0688916441
0.0080000800 0.0689739607
0.0080100801 0.0690562680
0.0080200802 0.0691385661
0.0080300803 0.0692208549
0.0080400804 0.0693031346
0.0080500805 0.0693854050
0.0080600806 0.0694676661
0.0080700807 0.0695499181
0.0080800808 0.0696321608
0.0080900809 0.0697143943
0.0081000810 0.0697966186
0.0081100811 0.0698788337
0.0081200812 0.0699610395
0.0081300813 0.0700432361
0.0081400814 0.0701254235
0.0081500815 0.0702076017
0.0081600816 0.0702897707
0.0081700817 0.0703719304
0.0081800818 0.0704540810
0.0081900819 0.0705362223
0.0082000820 0.0706183544
0.0082100821 0.0707004773
0.0082200822 0.0707825909
0.0082300823 0.0708646954
0.0082400824 0.0709467907
0.0082500825 0.0710288767
0.0082600826 0.0711109535
0.0082700827 0.0711930212
0.0082800828 0.0712750796
0.0082900829 0.0713571288
0.0083000830 0.0714391688
0.0083100831 0.0715211996
0.0083200832 0.0716032213
0.0083300833 0.0716852337
0.0083400834 0.0717672369
0.0083500835 0.0718492309
0.0083600836 0.0719312157
0.0083700837 0.0720131913
0.0083800838 0.0720951577
0.0083900839 0.0721771149
0.0084000840 0.0722590629
0.0084100841 0.0723410018
0.0084200842 0.0724229314
0.0084300843 0.0725048518
0.0084400844 0.0725867631
0.0084500845 0.0726686651
0.0084600846 0.0727505580
0.0084700847 0.0728324417
0.0084800848 0.0729143162
0.0084900849 0.0729961815
0.0085000850 0.0730780376
0.0085100851 0.0731598845
0.0085200852 0.0732417222
0.0085300853 0.0733235508
0.0085400854 0.0734053702
0.0085500855 0.0734871804
0.0085600856 0.0735689814
0.0085700857 0.0736507732
0.0085800858 0.0737325559
0.0085900859 0.0738143294
0.0086000860 0.0738960937
0.0086100861 0.0739778488
0.0086200862 0.0740595948
0.0086300863 0.0741413315
0.0086400864 0.0742230592
0.0086500865 0.0743047776
0.0086600866 0.0743864868
0.0086700867 0.0744681869
0.0086800868 0.0745498779
0.0086900869 0.0746315596
0.0087000870 0.0747132322
0.0087100871 0.0747948956
0.0087200872 0.0748765499
0.0087300873 0.0749581949
0.0087400874 0.0750398309
0.0087500875 0.0751214576
0.0087600876 0.0752030752
0.0087700877 0.0752846837
0.0087800878 0.0753662829
0.0087900879 0.0754478730
0.0088000880 0.0755294540
0.0088100881 0.0756110258
0.0088200882 0.0756925884
0.0088300883 0.0757741419
0.0088400884 0.0758556863
0.0088500885 0.0759372214
0.0088600886 0.0760187475
0.0088700887 0.0761002643
0.0088800888 0.0761817720
0.0088900889 0.0762632706
0.0089000890 0.0763447600
0.0089100891 0.0764262403
0.0089200892 0.0765077114
0.0089300893 0.0765891734
0.0089400894 0.0766706262
0.0089500895 0.0767520699
0.0089600896 0.0768335045
0.0089700897 0.0769149299
0.0089800898 0.0769963461
0.0089900899 0.0770777532
0.0090000900 0.0771591512
0.0090100901 0.0772405400
0.0090200902 0.0773219197
0.0090300903 0.0774032903
0.0090400904 0.0774846517
0.0090500905 0.0775660040
0.0090600906 0.0776473471
0.0090700907 0.0777286812
0.0090800908 0.0778100060
0.0090900909 0.0778913218
0.0091000910 0.0779726284
0.0091100911 0.0780539259
0.0091200912 0.0781352143
0.0091300913 0.0782164935
0.0091400914 0.0782977636
0.0091500915 0.0783790246
0.0091600916 0.0784602764
0.0091700917 0.0785415192
0.0091800918 0.0786227528
0.0091900919 0.0787039772
0.0092000920 0.0787851926
0.0092100921 0.0788663988
0.0092200922 0.0789475960
0.0092300923 0.0790287839
0.0092400924 0.0791099628
0.0092500925 0.0791911326
0.0092600926 0.0792722932
0.0092700927 0.0793534448
0.0092800928 0.0794345872
0.0092900929 0.0795157205
0.0093000930 0.0795968447
0.0093100931 0.0796779597
0.0093200932 0.0797590657
0.0093300933 0.0798401626
0.0093400934 0.0799212503
0.0093500935 0.0800023289
0.0093600936 0.0800833985
0.0093700937 0.0801644589
0.0093800938 0.0802455102
0.0093900939 0.0803265524
0.0094000940 0.0804075855
0.0094100941 0.0804886095
0.0094200942 0.0805696244
0.0094300943 0.0806506302
0.0094400944 0.0807316269
0.0094500945 0.0808126145
0.0094600946 0.0808935930
0.0094700947 0.0809745624
0.0094800948 0.0810555227
0.0094900949 0.0811364739
0.0095000950 0.0812174161
0.0095100951 0.0812983491
0.0095200952 0.0813792730
0.0095300953 0.0814601879
0.0095400954 0.0815410936
0.0095500955 0.0816219903
0.0095600956 0.0817028778
0.0095700957 0.0817837563
0.0095800958 0.0818646257
0.0095900959 0.0819454860
0.0096000960 0.0820263372
0.0096100961 0.0821071794
0.0096200962 0.0821880124
0.0096300963 0.0822688364
0.0096400964 0.0823496513
0.0096500965 0.0824304571
0.0096600966 0.0825112538
0.0096700967 0.0825920414
0.0096800968 0.0826728200
0.0096900969 0.0827535895
0.0097000970 0.0828343499
0.0097100971 0.0829151012
0.0097200972 0.0829958435
0.0097300973 0.0830765767
0.0097400974 0.0831573008
